donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
326765682,"H14.09.095","","000000",480735352,479706303,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765683,"H14.09.096","","000000",480735360,479706615,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765684,"H14.09.097","","000000",480735366,479709076,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765685,"H14.09.098","","000000",480735286,479713548,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765686,"H14.09.099","","000000",480735294,479714826,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765687,"H14.09.100","","000000",480735302,479715195,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765688,"H14.09.101","","000000",480735310,479715379,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
326765689,"H14.09.102","","000000",480735318,479715701,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
467056391,"H15.09.103","","000000",482655824,480363829,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
467056397,"H15.09.104","","000000",482655832,480365890,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
467056406,"H15.09.107","","000000",482655778,480365152,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
467056407,"H15.09.108","","000000",482655786,480363848,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
467056408,"H15.09.109","","000000",482655794,480366804,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
467056409,"H15.09.110","","000000",482655802,480366577,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
