donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
326765654,"H14.09.067","","000000",477135155,475585506,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765655,"H14.09.068","","000000",477135163,475585523,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765656,"H14.09.069","","000000",477135172,475846137,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765657,"H14.09.070","","000000",477135252,475846167,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765658,"H14.09.071","","000000",477135261,475846416,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765659,"H14.09.072","","000000",477135269,475738079,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765661,"H14.09.074","","000000",480148745,477050150,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765662,"H14.09.075","","000000",480148753,477284565,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765663,"H14.09.076","","000000",480148761,476799204,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765665,"H14.09.078","","000000",480148773,476799703,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765667,"H14.09.080","","000000",480149033,477051570,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765668,"H14.09.081","","000000",480149041,477052332,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765669,"H14.09.082","","000000",480149049,477284558,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765671,"H14.09.084","","000000",480149625,478891109,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765672,"H14.09.085","","000000",480149627,478891174,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765673,"H14.09.086","","000000",480149631,478891359,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765674,"H14.09.087","","000000",480149639,478891117,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765675,"H14.09.088","","000000",480149647,478891147,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765676,"H14.09.089","","000000",480149579,478923583,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765677,"H14.09.090","","000000",480149587,478924676,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765678,"H14.09.091","","000000",480149593,479003796,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765680,"H14.09.093","","000000",480735332,479683591,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765681,"H14.09.094","","000000",480735340,479683645,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765682,"H14.09.095","","000000",480735348,479706247,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765683,"H14.09.096","","000000",480735356,479911183,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765686,"H14.09.099","","000000",480735290,479713697,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765687,"H14.09.100","","000000",480735298,479715121,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765688,"H14.09.101","","000000",480735306,479715329,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765689,"H14.09.102","","000000",480735314,479715520,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056391,"H15.09.103","","000000",482655820,480366825,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056397,"H15.09.104","","000000",482655828,480696328,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056405,"H15.09.106","","000000",482655844,480365103,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056406,"H15.09.107","","000000",482655848,480366227,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056407,"H15.09.108","","000000",482655782,480365162,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056408,"H15.09.109","","000000",482655790,480366256,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
467056409,"H15.09.110","","000000",482655798,480366786,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
